xpos,value
1760,0.917938
1761,0.918066
1762,0.918194
1763,0.918322
1764,0.918449
1765,0.918577
1766,0.918617
1767,0.918657
1768,0.918697
1769,0.918737
1770,0.918777
1771,0.918817
1772,0.918857
1773,0.918897
1774,0.918937
1775,0.918977
1776,0.919017
1777,0.919057
1778,0.919097
1779,0.919137
1780,0.919177
1781,0.919217
1782,0.919258
1783,0.919298
1784,0.919338
1785,0.919378
1786,0.919418
1787,0.919458
1788,0.919498
1789,0.919538
1790,0.919578
1791,0.919618
1792,0.919658
1793,0.919698
1794,0.919738
1795,0.919778
1796,0.919818
1797,0.919858
1798,0.919898
1799,0.919938
1800,0.919978
1801,0.920018
1802,0.920058
1803,0.920098
1804,0.920138
1805,0.920178
1806,0.920218
1807,0.920258
1808,0.920298
1809,0.920338
1810,0.920378
1811,0.920418
1812,0.920458
1813,0.920498
1814,0.920538
1815,0.920578
1816,0.920618
1817,0.920658
1818,0.920698
1819,0.920738
1820,0.920779
1821,0.920819
1822,0.920859
1823,0.920899
1824,0.920939
1825,0.920979
1826,0.921019
1827,0.921059
1828,0.921099
1829,0.921139
1830,0.921179
1831,0.921219
1832,0.921259
1833,0.921299
1834,0.921339
1835,0.921379
1836,0.921419
1837,0.921459
1838,0.921499
1839,0.921539
1840,0.921579
1841,0.921619
1842,0.921659
1843,0.921699
1844,0.921739
1845,0.921950
1846,0.922161
1847,0.922372
1848,0.922582
1849,0.922793
1850,0.923004
1851,0.923215
1852,0.923426
1853,0.923636
1854,0.923847
1855,0.924058
1856,0.924269
1857,0.924480
1858,0.924690
1859,0.924901
1860,0.925112
1861,0.925323
1862,0.925534
1863,0.925744
1864,0.925955
1865,0.926166
1866,0.926377
1867,0.926588
1868,0.926798
1869,0.927009
1870,0.927220
1871,0.927431
